Thailand,ED,Education,Goal 1: Improve Teaching,Objective 1.1: Improve Teachers' Communication Skills,Number of teachers who interacted with a Volunteer in English.
Thailand,ED,Education,Goal 1: Improve Teaching,Objective 1.1: Improve Teachers' Communication Skills,"Teachers: English Teacher English Proficiency - Number of English teachers, out of the total number of teachers the Volunteer worked with, who conducted a higher proportion of their class procedural language in English. "
Thailand,ED,Education,Goal 1: Improve Teaching,Objective 1.2: Improve English Teachers' Instructional Practice,"Teachers: English Teaching Methodology - Number of teachers, out of the total number of teachers the Volunteer worked with, who improved their English instruction in one or more of the following ways: used new techniques for teaching language skills or more effectively applied established communicative language learning principles"
Thailand,ED,Education,Goal 1: Improve Teaching,Objective 1.2: Improve English Teachers' Instructional Practice,"Teachers: General Teaching Practices - Number of teachers, out of the total number of teachers the Volunteer worked with, who increased their use of student-centered teaching techniques. "
Thailand,ED,Education,Goal 1: Improve Teaching,Objective 1.2: Improve English Teachers' Instructional Practice,"Teachers: Classroom Management - Number of teachers, out of the total number of teachers the Volunteer worked with, who introduced improved structures or routines to manage classroom interactions more effectively"
Thailand,ED,Education,Goal 1: Improve Teaching,Objective 1.3: Improve Resource Development and Use,Number of teachers the Volunteer discussed lesson plans with.
Thailand,ED,Education,Goal 1: Improve Teaching,Objective 1.3: Improve Resource Development and Use,Number of teachers the Volunteer discussed classroom materials with.
Thailand,ED,Education,Goal 1: Improve Teaching,Objective 1.3: Improve Resource Development and Use,"Teachers: Resource Development - Number of teachers, out of the total number of teachers the Volunteer worked with, who increased  their use of learning resources or classroom materials by creating, improving, or managing items such as lesson plans, posters, handouts, library books or other  materials that support classroom learning. "
Thailand,ED,Education,Goal 2: Increase Student Success,Objective 2.1: Improve Achievement and Participation in English Class,Number of students that the Volunteers worked with on English reading skills.
Thailand,ED,Education,Goal 2: Increase Student Success,Objective 2.1: Improve Achievement and Participation in English Class,"Students: English Proficiency - Number of students, out of the total number of students the Volunteer/partner worked with, who demonstrated improved English proficiency based on class content through formal or informal assessment. "
Thailand,ED,Education,Goal 2: Increase Student Success,Objective 2.1: Improve Achievement and Participation in English Class,"Students: Basic Reading Skills - Number of students, out of the total number of students the Volunteer/partner worked with, who demonstrated improvement in one or more of the following skills: letter recognition, print knowledge, phonics, oral fluency or print production."
Thailand,ED,Education,Goal 2: Increase Student Success,"Objective 2.2: Improve Student Achievement, Participation, and Leadership Skills through English Extracurricular Activities","Students: Extracurricular Activities in English—Number of students, out of the total number of students the Volunteer/partner worked with, who participated in additional extracurricular activities in English. "
Thailand,ED,Education,Goal 2: Increase Student Success,"Objective 2.2: Improve Student Achievement, Participation, and Leadership Skills through English Extracurricular Activities","Students: Confidence and Motivation—Number of students, out of the total number of students the Volunteer/partner worked with, who demonstrated increased confidence or motivation in a class, club, or camp. "
Thailand,ED,Education,Goal 2: Increase Student Success,"Objective 2.2: Improve Student Achievement, Participation, and Leadership Skills through English Extracurricular Activities","Students: Leadership—Number of students, out of the total number of students the Volunteer/partner worked with, who demonstrated leadership in or out of the classroom through activities like peer teaching, coaching, or homework help. "
Thailand,ED,Education,Goal 3: Improve the School Community,Objective 3.1: School Community Projects,Number of school community members who worked with the Volunteer and co-teacher.
Thailand,ED,Education,Goal 3: Improve the School Community,Objective 3.1: School Community Projects,"Community Engagement: School Administration—Number of school community members, out of the total number of school community members the Volunteer/partner worked with, who strengthened school administrative procedures for English teachers, improved school facilities to expand English use, or enhanced student English learning opportunities. "
Thailand,ED,Education,Goal 3: Improve the School Community,Objective 3.2: School and Family-focused Community Projects,Number of community members who attended family-focused school activities.
Thailand,ED,Education,Goal 3: Improve the School Community,Objective 3.2: School and Family-focused Community Projects,"Community Engagement: Support for Learning - Number of community members, out of the total number of community members the Volunteer/partner worked with, who increased their participation in activities that support their school or enhance student literacy opportunities. "
Thailand,YD,Youth,Goal 1: Develop Healthier Lifestyle,Objective 1.1: Improve Life Skills,Number of youth taught by Volunteers.
